"date","group","subject","team","label","response","comment"
"2018_9_26_11_10_25","1","10","5","roll116","6","actual_number: 8; reaction_time: 3.35"
"2018_9_26_11_10_27","1","5","3","roll101","6","actual_number: 8; reaction_time: 7.42"
"2018_9_26_11_10_27","1","2","1","roll111","1","actual_number: 8; reaction_time: 7.25"
"2018_9_26_11_10_29","1","9","5","roll106","5","actual_number: 8; reaction_time: 25.53"
"2018_9_26_11_10_29","1","4","2","roll108","6","actual_number: 8; reaction_time: 2.99"
"2018_9_26_11_10_32","1","10","5","roll117","5","actual_number: 8; reaction_time: 3.85"
"2018_9_26_11_10_32","1","8","4","roll109","1","actual_number: 8; reaction_time: 14.17"
"2018_9_26_11_10_32","1","3","2","roll113","4","actual_number: 8; reaction_time: 6.26"
"2018_9_26_11_10_33","1","7","4","roll108","6","actual_number: 8; reaction_time: 6.23"
"2018_9_26_11_10_36","1","5","3","roll102","2","actual_number: 8; reaction_time: 6.28"
"2018_9_26_11_10_36","1","1","1","roll107","4","actual_number: 8; reaction_time: 10.44"
"2018_9_26_11_10_36","1","4","2","roll109","3","actual_number: 8; reaction_time: 4.77"
"2018_9_26_11_10_37","1","6","3","roll101","5","actual_number: 8; reaction_time: 9.17"
"2018_9_26_11_10_38","1","2","1","roll112","2","actual_number: 8; reaction_time: 7.85"
"2018_9_26_11_10_38","1","10","5","roll118","2","actual_number: 8; reaction_time: 3.96"
"2018_9_26_11_10_40","1","3","2","roll114","5","actual_number: 8; reaction_time: 5.02"
"2018_9_26_11_10_40","1","7","4","roll109","4","actual_number: 8; reaction_time: 4.4"
"2018_9_26_11_10_43","1","9","5","roll107","3","actual_number: 8; reaction_time: 8.23"
"2018_9_26_11_10_44","1","1","1","roll108","4","actual_number: 8; reaction_time: 5.71"
"2018_9_26_11_10_45","1","5","3","roll103","1","actual_number: 8; reaction_time: 6.51"
"2018_9_26_11_10_46","1","8","4","roll110","6","actual_number: 8; reaction_time: 1.89"
"2018_9_26_11_10_46","1","4","2","roll110","1","actual_number: 8; reaction_time: 5.2"
"2018_9_26_11_10_47","1","3","2","roll115","6","actual_number: 8; reaction_time: 4.69"
"2018_9_26_11_10_48","1","6","3","roll102","4","actual_number: 8; reaction_time: 8.35"
"2018_9_26_11_10_51","1","2","1","roll113","3","actual_number: 8; reaction_time: 8.84"
"2018_9_26_11_10_51","1","1","1","roll109","1","actual_number: 8; reaction_time: 5.01"
"2018_9_26_11_10_52","1","4","2","roll111","4","actual_number: 8; reaction_time: 3.36"
"2018_9_26_11_10_53","1","7","4","roll110","2","actual_number: 8; reaction_time: 6.78"
"2018_9_26_11_10_53","1","9","5","roll108","4","actual_number: 8; reaction_time: 7.63"
"2018_9_26_11_10_54","1","8","4","roll111","3","actual_number: 8; reaction_time: 5.84"
"2018_9_26_11_10_57","1","3","2","roll116","5","actual_number: 8; reaction_time: 4.56"
"2018_9_26_11_10_58","1","4","2","roll112","1","actual_number: 8; reaction_time: 3.72"
"2018_9_26_11_10_59","1","5","3","roll104","1","actual_number: 8; reaction_time: 6.52"
"2018_9_26_11_11_1","1","6","3","roll103","5","actual_number: 8; reaction_time: 10.1"
"2018_9_26_11_11_1","1","7","4","roll111","5","actual_number: 8; reaction_time: 5.27"
"2018_9_26_11_11_2","1","1","1","roll110","1","actual_number: 8; reaction_time: 5.58"
"2018_9_26_11_11_2","1","2","1","roll114","5","actual_number: 8; reaction_time: 8.48"
"2018_9_26_11_11_3","1","9","5","roll109","2","actual_number: 8; reaction_time: 7.08"
"2018_9_26_11_11_4","1","3","2","roll117","4","actual_number: 8; reaction_time: 4.81"
"2018_9_26_11_11_5","1","8","4","roll112","5","actual_number: 8; reaction_time: 8.78"
"2018_9_26_11_11_9","1","5","3","roll105","5","actual_number: 8; reaction_time: 7.51"
"2018_9_26_11_11_9","1","1","1","roll111","4","actual_number: 8; reaction_time: 4.97"
"2018_9_26_11_11_11","1","4","2","roll113","6","actual_number: 8; reaction_time: 6.84"
"2018_9_26_11_11_11","1","3","2","roll118","3","actual_number: 8; reaction_time: 4.42"
"2018_9_26_11_11_12","1","7","4","roll112","5","actual_number: 8; reaction_time: 8.93"
"2018_9_26_11_11_12","1","2","1","roll115","1","actual_number: 8; reaction_time: 7.71"
"2018_9_26_11_11_15","1","6","3","roll104","4","actual_number: 8; reaction_time: 6.16"
"2018_9_26_11_11_16","1","1","1","roll112","1","actual_number: 8; reaction_time: 4.41"
"2018_9_26_11_11_18","1","5","3","roll106","4","actual_number: 8; reaction_time: 6.93"
"2018_9_26_11_11_19","1","8","4","roll113","5","actual_number: 8; reaction_time: 6.5"
"2018_9_26_11_11_22","1","4","2","roll114","2","actual_number: 8; reaction_time: 8.3"
"2018_9_26_11_11_25","1","9","5","roll110","2","actual_number: 8; reaction_time: 10.44"
"2018_9_26_11_11_25","1","6","3","roll105","6","actual_number: 8; reaction_time: 7.76"
"2018_9_26_11_11_26","1","2","1","roll116","4","actual_number: 8; reaction_time: 8.75"
"2018_9_26_11_11_26","1","8","4","roll114","4","actual_number: 8; reaction_time: 4.29"
"2018_9_26_11_11_27","1","1","1","roll113","1","actual_number: 8; reaction_time: 5.72"
"2018_9_26_11_11_29","1","7","4","roll113","1","actual_number: 8; reaction_time: 10.69"
"2018_9_26_11_11_29","1","4","2","roll115","2","actual_number: 8; reaction_time: 4.5"
"2018_9_26_11_11_32","1","8","4","roll115","6","actual_number: 8; reaction_time: 3.78"
"2018_9_26_11_11_32","1","5","3","roll107","3","actual_number: 8; reaction_time: 7.64"
"2018_9_26_11_11_34","1","9","5","roll111","3","actual_number: 8; reaction_time: 6.18"
"2018_9_26_11_11_35","1","1","1","roll114","2","actual_number: 8; reaction_time: 5.49"
"2018_9_26_11_11_36","1","6","3","roll106","4","actual_number: 8; reaction_time: 7.73"
"2018_9_26_11_11_36","1","7","4","roll114","3","actual_number: 8; reaction_time: 4.84"
"2018_9_26_11_11_36","1","2","1","roll117","5","actual_number: 8; reaction_time: 7.57"
"2018_9_26_11_11_41","1","5","3","roll108","5","actual_number: 8; reaction_time: 6.26"
"2018_9_26_11_11_41","1","8","4","roll116","4","actual_number: 8; reaction_time: 1.85"
"2018_9_26_11_11_42","1","4","2","roll116","3","actual_number: 8; reaction_time: 5.52"
"2018_9_26_11_11_43","1","1","1","roll115","5","actual_number: 8; reaction_time: 5.74"
"2018_9_26_11_11_44","1","7","4","roll115","6","actual_number: 8; reaction_time: 5.53"
"2018_9_26_11_11_45","1","2","1","roll118","4","actual_number: 8; reaction_time: 6.79"
"2018_9_26_11_11_47","1","4","2","roll117","2","actual_number: 8; reaction_time: 2.91"
"2018_9_26_11_11_47","1","9","5","roll112","1","actual_number: 8; reaction_time: 10.98"
"2018_9_26_11_11_48","1","8","4","roll117","2","actual_number: 8; reaction_time: 4.53"
"2018_9_26_11_11_49","1","6","3","roll107","3","actual_number: 8; reaction_time: 7.07"
"2018_9_26_11_11_50","1","5","3","roll109","3","actual_number: 8; reaction_time: 6.58"
"2018_9_26_11_11_53","1","4","2","roll118","5","actual_number: 8; reaction_time: 3.14"
"2018_9_26_11_11_55","1","1","1","roll116","1","actual_number: 8; reaction_time: 6.65"
"2018_9_26_11_11_55","1","8","4","roll118","2","actual_number: 8; reaction_time: 4.61"
"2018_9_26_11_11_57","1","7","4","roll116","5","actual_number: 8; reaction_time: 7.59"
"2018_9_26_11_11_57","1","6","3","roll108","3","actual_number: 8; reaction_time: 5.6"
"2018_9_26_11_11_58","1","9","5","roll113","4","actual_number: 8; reaction_time: 4.97"
"2018_9_26_11_12_2","1","1","1","roll117","2","actual_number: 8; reaction_time: 4.62"
"2018_9_26_11_12_3","1","6","3","roll109","4","actual_number: 8; reaction_time: 4.23"
"2018_9_26_11_12_6","1","9","5","roll114","6","actual_number: 8; reaction_time: 5.31"
"2018_9_26_11_12_7","1","5","3","roll110","5","actual_number: 8; reaction_time: 10.67"
"2018_9_26_11_12_7","1","7","4","roll117","2","actual_number: 8; reaction_time: 8.27"
"2018_9_26_11_12_13","1","1","1","roll118","4","actual_number: 8; reaction_time: 8.32"
"2018_9_26_11_12_14","1","6","3","roll110","6","actual_number: 8; reaction_time: 5.46"
"2018_9_26_11_12_15","1","9","5","roll115","5","actual_number: 8; reaction_time: 6.65"
"2018_9_26_11_12_16","1","5","3","roll111","3","actual_number: 8; reaction_time: 6.86"
"2018_9_26_11_12_16","1","7","4","roll118","4","actual_number: 8; reaction_time: 6.6"
"2018_9_26_11_12_22","1","6","3","roll111","5","actual_number: 8; reaction_time: 5.07"
"2018_9_26_11_12_25","1","5","3","roll112","1","actual_number: 8; reaction_time: 6.11"
"2018_9_26_11_12_27","1","9","5","roll116","1","actual_number: 8; reaction_time: 7.46"
"2018_9_26_11_12_28","1","6","3","roll112","1","actual_number: 8; reaction_time: 3.28"
"2018_9_26_11_12_35","1","10","5","Q1","d",
"2018_9_26_11_12_35","1","10","5","Q2","d",
"2018_9_26_11_12_35","1","10","5","Q3","b",
"2018_9_26_11_12_35","1","9","5","roll117","2","actual_number: 8; reaction_time: 5.43"
"2018_9_26_11_12_38","1","5","3","roll113","1","actual_number: 8; reaction_time: 7.5"
"2018_9_26_11_12_38","1","6","3","roll113","3","actual_number: 8; reaction_time: 4.46"
"2018_9_26_11_12_42","1","9","5","roll118","4","actual_number: 8; reaction_time: 4.98"
"2018_9_26_11_12_45","1","6","3","roll114","6","actual_number: 8; reaction_time: 4.37"
"2018_9_26_11_12_46","1","5","3","roll114","3","actual_number: 8; reaction_time: 5.87"
"2018_9_26_11_12_55","1","5","3","roll115","4","actual_number: 8; reaction_time: 6.8"
"2018_9_26_11_12_56","1","6","3","roll115","3","actual_number: 8; reaction_time: 9.21"
"2018_9_26_11_13_8","1","5","3","roll116","3","actual_number: 8; reaction_time: 7.05"
"2018_9_26_11_13_8","1","6","3","roll116","5","actual_number: 8; reaction_time: 3.36"
"2018_9_26_11_13_16","1","6","3","roll117","1","actual_number: 8; reaction_time: 5.26"
"2018_9_26_11_13_17","1","5","3","roll117","6","actual_number: 8; reaction_time: 6.47"
"2018_9_26_11_13_23","1","6","3","roll118","5","actual_number: 8; reaction_time: 4.88"
"2018_9_26_11_13_24","1","7","4","Q1","d",
"2018_9_26_11_13_24","1","7","4","Q2","d",
"2018_9_26_11_13_24","1","7","4","Q3","b",
"2018_9_26_11_13_26","1","5","3","roll118","1","actual_number: 8; reaction_time: 6.71"
"2018_9_26_11_13_30","1","8","4","Q1","d",
"2018_9_26_11_13_30","1","8","4","Q2","d",
"2018_9_26_11_13_30","1","8","4","Q3","b",
"2018_9_26_11_13_41","1","2","1","Q1","d",
"2018_9_26_11_13_41","1","2","1","Q2","d",
"2018_9_26_11_13_41","1","2","1","Q3","b",
"2018_9_26_11_15_22","1","4","2","Q1","d",
"2018_9_26_11_15_22","1","4","2","Q2","d",
"2018_9_26_11_15_22","1","4","2","Q3","b",
"2018_9_26_11_15_41","1","3","2","Q1","d",
"2018_9_26_11_15_41","1","3","2","Q2","d",
"2018_9_26_11_15_41","1","3","2","Q3","b",
"2018_9_26_11_16_15","1","1","1","Q1","d",
"2018_9_26_11_16_15","1","1","1","Q2","d",
"2018_9_26_11_16_15","1","1","1","Q3","b",
"2018_9_26_11_16_46","1","6","3","Q1","d",
"2018_9_26_11_16_46","1","6","3","Q2","d",
"2018_9_26_11_16_46","1","6","3","Q3","b",
"2018_9_26_11_16_54","1","5","3","Q1","d",
"2018_9_26_11_16_54","1","5","3","Q2","d",
"2018_9_26_11_16_54","1","5","3","Q3","b",
"2018_9_26_11_20_36","1","9","5","Q1","d",
"2018_9_26_11_20_36","1","9","5","Q2","d",
"2018_9_26_11_20_36","1","9","5","Q3","b",
"2018_9_26_11_52_28","1","4","3","roll201","6","actual_number: 9; reaction_time: 5.32"
"2018_9_26_11_52_34","1","4","3","roll202","3","actual_number: 9; reaction_time: 3.08"
"2018_9_26_11_52_37","1","10","1","roll201","1","actual_number: 9; reaction_time: 4.6"
"2018_9_26_11_52_41","1","4","3","roll203","4","actual_number: 9; reaction_time: 4.92"
"2018_9_26_11_52_42","1","2","2","roll201","6","actual_number: 9; reaction_time: 6.62"
"2018_9_26_11_52_44","1","10","1","roll202","3","actual_number: 9; reaction_time: 3.69"
"2018_9_26_11_52_47","1","1","1","roll201","6","actual_number: 9; reaction_time: 7.28"
"2018_9_26_11_52_49","1","10","1","roll203","3","actual_number: 9; reaction_time: 3.31"
"2018_9_26_11_52_50","1","2","2","roll202","5","actual_number: 9; reaction_time: 5.14"
"2018_9_26_11_52_51","1","4","3","roll204","3","actual_number: 9; reaction_time: 3.06"
"2018_9_26_11_52_51","1","3","2","roll201","3","actual_number: 9; reaction_time: 5.54"
"2018_9_26_11_52_52","1","7","4","roll201","5","actual_number: 9; reaction_time: 7.51"
"2018_9_26_11_52_54","1","5","3","roll201","5","actual_number: 9; reaction_time: 8.52"
"2018_9_26_11_52_55","1","8","5","roll201","6","actual_number: 9; reaction_time: 7.72"
"2018_9_26_11_52_57","1","4","3","roll205","5","actual_number: 9; reaction_time: 2.99"
