"date","group","subject","team","stage","round","condition","type","response1","error1","comment","RT"
"2018_6_25_22_38_34","96","4","2","2","30","forced","NULL","3","NULL","actual_number: 7","3.16"
"2018_6_25_22_39_16","96","1","1","1","31","forced","NULL","1","NULL","actual_number: 7","2.99"
"2018_6_25_22_39_22","96","3","2","1","31","forced","NULL","3","NULL","actual_number: 7","2.61"
"2018_6_25_22_39_32","96","2","1","2","31","forced","NULL","2","NULL","actual_number: 7","2.3"
"2018_6_25_22_39_36","96","4","2","2","31","forced","NULL","4","NULL","actual_number: 7","4.38"
"2018_6_25_22_39_50","96","1","1","1","32","forced","NULL","2","NULL","actual_number: 7","2.06"
"2018_6_25_22_39_53","96","3","2","1","32","forced","NULL","2","NULL","actual_number: 7","1.98"
"2018_6_25_22_39_59","96","2","1","2","32","forced","NULL","2","NULL","actual_number: 7","2.08"
"2018_6_25_22_40_7","96","4","2","2","32","forced","NULL","2","NULL","actual_number: 7","3.2"
"2018_6_25_22_40_18","96","1","1","1","33","forced","NULL","3","NULL","actual_number: 7","1.27"
"2018_6_25_22_40_26","96","3","2","1","33","forced","NULL","3","NULL","actual_number: 7","3.39"
"2018_6_25_22_40_27","96","2","1","2","33","forced","NULL","3","NULL","actual_number: 7","2.65"
"2018_6_25_22_40_39","96","4","2","2","33","forced","NULL","3","NULL","actual_number: 7","2.09"
"2018_6_25_22_41_24","96","1","1","1","34","forced","NULL","1","NULL","actual_number: 7","5.85"
"2018_6_25_22_41_27","96","3","2","1","34","forced","NULL","3","NULL","actual_number: 7","6.08"
"2018_6_25_22_41_32","96","2","1","2","34","forced","NULL","2","NULL","actual_number: 7","1.92"
"2018_6_25_22_41_34","96","4","2","2","34","forced","NULL","4","NULL","actual_number: 7","1.67"
"2018_6_25_22_41_53","96","3","2","1","35","forced","NULL","3","NULL","actual_number: 7","2.8"
"2018_6_25_22_41_56","96","1","1","1","35","forced","NULL","1","NULL","actual_number: 7","2.14"
"2018_6_25_22_42_5","96","4","2","2","35","forced","NULL","4","NULL","actual_number: 7","1.3"
"2018_6_25_22_42_7","96","2","1","2","35","forced","NULL","2","NULL","actual_number: 7","1.93"
"2018_6_25_22_42_21","96","3","2","1","36","forced","NULL","3","NULL","actual_number: 7","2.38"
"2018_6_25_22_42_24","6","1","1","1","1","forced","NULL","1","NULL","actual_number: 7","465.58"
"2018_6_25_22_42_27","96","1","1","1","36","forced","NULL","3","NULL","actual_number: 7","3.17"
"2018_6_25_22_42_30","6","3","2","1","1","forced","NULL","1","NULL","actual_number: 7","16.06"
"2018_6_25_22_42_34","96","4","2","2","36","forced","NULL","3","NULL","actual_number: 7","9.02"
"2018_6_25_22_42_39","6","2","1","2","1","forced","NULL","2","NULL","actual_number: 7","2.82"
"2018_6_25_22_42_44","96","2","1","2","36","forced","NULL","3","NULL","actual_number: 7","3.78"
"2018_6_25_22_42_48","6","4","2","2","1","forced","NULL","2","NULL","actual_number: 7","1.72"
"2018_6_25_22_43_20","6","3","2","1","2","forced","NULL","3","NULL","actual_number: 7","8.19"
"2018_6_25_22_43_24","6","1","1","1","2","forced","NULL","3","NULL","actual_number: 7","7.71"
"2018_6_25_22_43_32","6","4","2","2","2","forced","NULL","1","NULL","actual_number: 7","2.74"
"2018_6_25_22_43_48","6","2","1","2","2","forced","NULL","3","NULL","actual_number: 7","11.69"
"2018_6_25_22_44_16","6","1","1","1","3","forced","NULL","4","NULL","actual_number: 7","9.58"
"2018_6_25_22_44_25","6","2","1","2","3","forced","NULL","4","NULL","actual_number: 7","2.15"
"2018_6_25_22_44_53","6","3","2","1","3","forced","NULL","3","NULL","actual_number: 7","14.88"
"2018_6_25_22_45_2","6","4","2","2","3","forced","NULL","3","NULL","actual_number: 7","2.01"
"2018_6_25_22_45_22","6","1","1","1","4","forced","NULL","4","NULL","actual_number: 7","10.67"
"2018_6_25_22_45_37","6","2","1","2","4","forced","NULL","4","NULL","actual_number: 7","3.78"
"2018_6_25_22_46_0","6","3","2","1","4","forced","NULL","4","NULL","actual_number: 7","7.41"
"2018_6_25_22_46_8","6","4","2","2","4","forced","NULL","4","NULL","actual_number: 7","2.76"
"2018_6_25_22_46_13","6","1","1","1","5","forced","NULL","5","NULL","actual_number: 7","20.04"
"2018_6_25_22_46_22","6","2","1","2","5","forced","NULL","5","NULL","actual_number: 7","3.45"
"2018_6_25_22_46_38","6","3","2","1","5","forced","NULL","5","NULL","actual_number: 7","4.05"
"2018_6_25_22_46_55","6","1","1","1","6","forced","NULL","6","NULL","actual_number: 7","3.73"
"2018_6_25_22_47_3","6","4","2","2","5","forced","NULL","5","NULL","actual_number: 7","2.81"
"2018_6_25_22_47_9","6","2","1","2","6","forced","NULL","6","NULL","actual_number: 7","2.06"
"2018_6_25_22_47_32","6","3","2","1","6","forced","NULL","6","NULL","actual_number: 7","10.46"
"2018_6_25_22_47_47","6","4","2","2","6","forced","NULL","6","NULL","actual_number: 7","2.93"
"2018_6_25_22_48_22","6","1","1","1","7","forced","NULL","1","NULL","actual_number: 7","4.83"
"2018_6_25_22_48_29","6","3","2","1","7","forced","NULL","1","NULL","actual_number: 7","3.42"
"2018_6_25_22_48_45","6","2","1","2","7","forced","NULL","1","NULL","actual_number: 7","3.35"
"2018_6_25_22_48_52","6","4","2","2","7","forced","NULL","1","NULL","actual_number: 7","3.35"
"2018_6_25_22_49_12","6","1","1","1","8","forced","NULL","2","NULL","actual_number: 7","3.65"
"2018_6_25_22_49_17","6","3","2","1","8","forced","NULL","2","NULL","actual_number: 7","4.55"
"2018_6_25_22_49_24","6","2","1","2","8","forced","NULL","2","NULL","actual_number: 7","2.04"
"2018_6_25_22_49_32","6","4","2","2","8","forced","NULL","2","NULL","actual_number: 7","2.95"
"2018_6_25_22_49_54","6","3","2","1","9","forced","NULL","3","NULL","actual_number: 7","5.7"
"2018_6_25_22_50_1","6","1","1","1","9","forced","NULL","3","NULL","actual_number: 7","6.31"
"2018_6_25_22_50_9","6","4","2","2","9","forced","NULL","4","NULL","actual_number: 7","2.73"
"2018_6_25_22_50_20","6","2","1","2","9","forced","NULL","4","NULL","actual_number: 7","6.85"
"2018_6_25_22_52_34","6","1","1","1","10","forced","NULL","1","NULL","actual_number: 7","10.29"
"2018_6_25_22_52_39","6","3","2","1","10","forced","NULL","1","NULL","actual_number: 7","10.04"
"2018_6_25_22_52_46","6","4","1","3","10","forced","NULL","1","NULL","actual_number: 7","1.98"
"2018_6_25_22_52_53","6","2","2","2","10","forced","NULL","1","NULL","actual_number: 7","2.94"
"2018_6_25_22_53_16","6","3","2","1","11","forced","NULL","2","NULL","actual_number: 7","3.98"
"2018_6_25_22_55_6","6","2","2","2","11","forced","NULL","2","NULL","actual_number: 7","99.69"
"2018_6_25_22_55_48","6","3","2","1","12","forced","NULL","2","NULL","actual_number: 7","17.39"
"2018_6_25_22_55_59","6","2","2","2","12","forced","NULL","3","NULL","actual_number: 7","3.39"
"2018_6_26_6_43_22","95","1","1","1","1","forced","NULL","1","NULL","actual_number: 7","15.84"
"2018_6_26_6_43_33","95","2","1","2","1","forced","NULL","1","NULL","actual_number: 7","1.44"
"2018_6_26_6_43_40","95","3","2","1","1","forced","NULL","3","NULL","actual_number: 7","4.38"
"2018_6_26_6_43_52","95","1","1","1","2","forced","NULL","2","NULL","actual_number: 7","1.26"
"2018_6_26_6_43_53","95","4","2","2","1","forced","NULL","2","NULL","actual_number: 7","2.67"
"2018_6_26_6_44_1","95","2","1","2","2","forced","NULL","2","NULL","actual_number: 7","2.18"
"2018_6_26_6_44_10","95","3","2","1","2","forced","NULL","2","NULL","actual_number: 7","1.82"
"2018_6_26_6_44_18","95","1","1","1","3","forced","NULL","3","NULL","actual_number: 7","1.32"
"2018_6_26_6_44_27","95","4","2","2","2","forced","NULL","2","NULL","actual_number: 7","1.43"
"2018_6_26_6_44_29","95","2","1","2","3","forced","NULL","3","NULL","actual_number: 7","3.35"
"2018_6_26_6_44_45","95","3","2","1","3","forced","NULL","3","NULL","actual_number: 7","2.24"
"2018_6_26_6_44_52","95","4","2","2","3","forced","NULL","3","NULL","actual_number: 7","1.15"
"2018_6_26_6_45_31","95","1","1","1","4","forced","NULL","1","NULL","actual_number: 7","3.93"
"2018_6_26_6_45_33","95","3","2","1","4","forced","NULL","3","NULL","actual_number: 7","4.7"
"2018_6_26_6_45_40","95","4","1","2","4","forced","NULL","1","NULL","actual_number: 7","4.15"
"2018_6_26_6_45_44","95","2","2","2","4","forced","NULL","3","NULL","actual_number: 7","1.99"
"2018_6_26_6_45_55","95","1","1","1","5","forced","NULL","2","NULL","actual_number: 7","1.29"
"2018_6_26_6_46_1","95","4","1","2","5","forced","NULL","2","NULL","actual_number: 7","1.79"
"2018_6_26_6_46_9","95","3","2","1","5","forced","NULL","2","NULL","actual_number: 7","3.24"
"2018_6_26_6_46_18","95","1","1","1","6","forced","NULL","3","NULL","actual_number: 7","1.92"
"2018_6_26_6_46_19","95","2","2","2","5","forced","NULL","2","NULL","actual_number: 7","2.37"
