"date","group","subject","team","stage","round","condition","type","response1","error1","comment","RT"
"2018_9_26_11_31_36","1","1","1","1","13","forced","NULL","6","NULL","actual_number: 7","5.71"
"2018_9_26_11_31_43","1","4","3","2","13","forced","NULL","5","NULL","actual_number: 7","2.34"
"2018_9_26_11_31_47","1","10","1","2","13","forced","NULL","3","NULL","actual_number: 7","3.91"
"2018_9_26_11_31_48","1","3","2","1","13","forced","NULL","5","NULL","actual_number: 7","5.96"
"2018_9_26_11_31_56","1","9","5","1","13","forced","NULL","6","NULL","actual_number: 7","5.7"
"2018_9_26_11_32_0","1","2","2","2","13","forced","NULL","6","NULL","actual_number: 7","6.8"
"2018_9_26_11_32_0","1","7","4","1","13","forced","NULL","5","NULL","actual_number: 7","8.41"
"2018_9_26_11_32_3","1","1","1","1","14","forced","NULL","6","NULL","actual_number: 7","3.49"
"2018_9_26_11_32_6","1","5","3","1","14","forced","NULL","4","NULL","actual_number: 7","5.68"
"2018_9_26_11_32_9","1","8","5","2","13","forced","NULL","4","NULL","actual_number: 7","5.34"
"2018_9_26_11_32_10","1","10","1","2","14","forced","NULL","6","NULL","actual_number: 7","2.75"
"2018_9_26_11_32_14","1","4","3","2","14","forced","NULL","6","NULL","actual_number: 7","2.52"
"2018_9_26_11_32_18","1","3","2","1","14","forced","NULL","5","NULL","actual_number: 7","6.21"
"2018_9_26_11_32_27","1","1","1","1","15","forced","NULL","1","NULL","actual_number: 7","4.83"
"2018_9_26_11_32_27","1","6","4","2","13","forced","NULL","5","NULL","actual_number: 7","3.68"
"2018_9_26_11_32_30","1","9","5","1","14","forced","NULL","5","NULL","actual_number: 7","3.79"
"2018_9_26_11_32_33","1","2","2","2","14","forced","NULL","4","NULL","actual_number: 7","9.97"
"2018_9_26_11_32_37","1","5","3","1","15","forced","NULL","2","NULL","actual_number: 7","10.65"
"2018_9_26_11_32_38","1","10","1","2","15","forced","NULL","4","NULL","actual_number: 7","4.18"
"2018_9_26_11_32_43","1","8","5","2","14","forced","NULL","5","NULL","actual_number: 7","1.63"
"2018_9_26_11_32_44","1","7","4","1","14","forced","NULL","3","NULL","actual_number: 7","3.77"
"2018_9_26_11_32_45","1","4","3","2","15","forced","NULL","2","NULL","actual_number: 7","1.85"
"2018_9_26_11_32_52","1","3","2","1","15","forced","NULL","2","NULL","actual_number: 7","6.32"
"2018_9_26_11_32_58","1","6","4","2","14","forced","NULL","3","NULL","actual_number: 7","4.13"
"2018_9_26_11_33_2","1","9","5","1","15","forced","NULL","1","NULL","actual_number: 7","4.33"
"2018_9_26_11_33_8","1","2","2","2","15","forced","NULL","5","NULL","actual_number: 7","10.54"
"2018_9_26_11_33_13","1","8","5","2","15","forced","NULL","5","NULL","actual_number: 7","1.19"
"2018_9_26_11_33_19","1","7","4","1","15","forced","NULL","5","NULL","actual_number: 7","7.22"
"2018_9_26_11_33_23","1","1","1","1","16","forced","NULL","2","NULL","actual_number: 7","5.33"
"2018_9_26_11_33_31","1","6","4","2","15","forced","NULL","6","NULL","actual_number: 7","2.81"
"2018_9_26_11_33_32","1","10","1","2","16","forced","NULL","4","NULL","actual_number: 7","3.61"
"2018_9_26_11_33_36","1","5","3","1","16","forced","NULL","1","NULL","actual_number: 7","8.5"
