Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,1,1,1,10,6,3.54,1,2,FirstMover,HighEffort,1,fishy_clam
11,12,1,2,10,6,4.52,1,2,FirstMover,HighEffort,1,regal_asp
11,3,2,1,10,2,2.91,1,2,FirstMover,HighEffort,0,coy_kite
11,2,2,2,10,4,2.45,1,2,FirstMover,HighEffort,0,nerdy_joey
11,5,3,1,10,6,3.75,1,2,FirstMover,HighEffort,0,taut_geese
11,4,3,2,10,4,6.8,1,2,FirstMover,HighEffort,0,scary_pony
11,7,4,1,10,3,3.44,1,2,FirstMover,HighEffort,0,happy_lark
11,6,4,2,10,5,7.28,1,2,FirstMover,HighEffort,0,oozy_skink
11,9,5,1,10,6,4.75,1,2,FirstMover,HighEffort,1,wavy_coypu
11,8,5,2,10,6,2.44,1,2,FirstMover,HighEffort,1,loopy_cub
11,11,6,1,10,3,5.52,1,2,FirstMover,HighEffort,1,cute_yapok
11,10,6,2,10,3,7.37,1,2,FirstMover,HighEffort,1,well_orca
11,1,1,1,11,5,5.79,1,2,FirstMover,HighEffort,0,fishy_clam
11,12,1,2,11,6,1.73,1,2,FirstMover,HighEffort,0,regal_asp
11,3,2,1,11,5,1.46,1,2,FirstMover,HighEffort,1,coy_kite
11,2,2,2,11,5,1.95,1,2,FirstMover,HighEffort,1,nerdy_joey
11,5,3,1,11,6,4.95,1,2,FirstMover,HighEffort,0,taut_geese
11,4,3,2,11,3,24.49,1,2,FirstMover,HighEffort,0,scary_pony
11,7,4,1,11,5,5.05,1,2,FirstMover,HighEffort,0,happy_lark
11,6,4,2,11,2,3.59,1,2,FirstMover,HighEffort,0,oozy_skink
11,9,5,1,11,1,1.89,1,2,FirstMover,HighEffort,0,wavy_coypu
11,8,5,2,11,6,3.08,1,2,FirstMover,HighEffort,0,loopy_cub
11,11,6,1,11,6,3.96,1,2,FirstMover,HighEffort,0,cute_yapok
11,10,6,2,11,1,8.41,1,2,FirstMover,HighEffort,0,well_orca
11,1,1,1,12,6,4.06,1,2,FirstMover,HighEffort,0,fishy_clam
11,12,1,2,12,5,3.65,1,2,FirstMover,HighEffort,0,regal_asp
11,3,2,1,12,3,1.72,1,2,FirstMover,HighEffort,0,coy_kite
11,2,2,2,12,4,1.76,1,2,FirstMover,HighEffort,0,nerdy_joey
11,5,3,1,12,6,2.96,1,2,FirstMover,HighEffort,1,taut_geese
11,4,3,2,12,6,6.98,1,2,FirstMover,HighEffort,1,scary_pony
11,7,4,1,12,4,3.03,1,2,FirstMover,HighEffort,1,happy_lark
11,6,4,2,12,4,3.08,1,2,FirstMover,HighEffort,1,oozy_skink
11,9,5,1,12,3,4.18,1,2,FirstMover,HighEffort,0,wavy_coypu
11,8,5,2,12,1,2.15,1,2,FirstMover,HighEffort,0,loopy_cub
11,11,6,1,12,3,3.28,1,2,FirstMover,HighEffort,0,cute_yapok
11,10,6,2,12,4,6.31,1,2,FirstMover,HighEffort,0,well_orca
11,1,1,1,13,5,6.55,1,2,FirstMover,HighEffort,0,fishy_clam
11,12,1,2,13,4,6.46,1,2,FirstMover,HighEffort,0,regal_asp
11,3,2,1,13,4,4.63,1,2,FirstMover,HighEffort,0,coy_kite
11,2,2,2,13,3,1.69,1,2,FirstMover,HighEffort,0,nerdy_joey
