group,subject,date,team,round,RT,Report,stage,ID.number,PlayerNo,Condition,HighEffort,LowEffort,Order,ShortPartnership,LongPartnership,Double,Age,Gender,H.Hexaco,E.Hexaco,X.Hexaco,A.Hexaco,C.Hexaco,O.Hexaco,SoMi,Study,Continent,ReportFirstMover,zcReportFirstMover,Effort,Partnership
17,8,2018_9_26_11_32_43,5,14,1.63,5,2,20543,Second Mover,Collaborative,1,0,Mirror,0,1,1,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,5,0.5083979328165373,High Effort,Long Partnership
17,10,2018_9_26_11_32_38,1,15,4.18,4,2,21661,Second Mover,Collaborative,1,0,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,1,-3.4916020671834627,High Effort,Long Partnership
17,2,2018_9_26_11_33_8,2,15,10.54,5,2,22634,Second Mover,Collaborative,1,0,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,2,-2.4916020671834627,High Effort,Long Partnership
17,4,2018_9_26_11_32_45,3,15,1.85,2,2,18991,Second Mover,Collaborative,1,0,Mirror,0,1,1,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,2,-2.4916020671834627,High Effort,Long Partnership
17,6,2018_9_26_11_33_31,4,15,2.81,6,2,22687,Second Mover,Collaborative,1,0,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,5,0.5083979328165373,High Effort,Long Partnership
17,8,2018_9_26_11_33_13,5,15,1.19,5,2,20543,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,1,-3.4916020671834627,High Effort,Long Partnership
17,10,2018_9_26_11_33_32,1,16,3.61,4,2,21661,Second Mover,Collaborative,1,0,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,2,-2.4916020671834627,High Effort,Long Partnership
17,2,2018_9_26_11_34_13,2,16,8.62,3,2,22634,Second Mover,Collaborative,1,0,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,1,-3.4916020671834627,High Effort,Long Partnership
17,4,2018_9_26_11_33_52,3,16,6.72,5,2,18991,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,1,-3.4916020671834627,High Effort,Long Partnership
17,6,2018_9_26_11_34_37,4,16,2.6,5,2,22687,Second Mover,Collaborative,1,0,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,6,1.5083979328165373,High Effort,Long Partnership
