Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,9,5,1,36,4,1.06,1,4,SecondMover,LowEffort,1,silly_steer
11,11,6,1,36,3,3.88,1,4,SecondMover,LowEffort,0,prime_eyra
11,1,1,1,37,6,3.22,1,5,Joint,LowEffort,0,rapt_jenny
11,3,2,1,37,4,6.65,1,5,Joint,LowEffort,0,comic_esok
11,5,3,1,37,6,2.81,1,5,Joint,LowEffort,1,lucky_tiger
11,7,4,1,37,5,5.61,1,5,Joint,LowEffort,1,picky_bunny
11,9,5,1,37,4,4.01,1,5,Joint,LowEffort,1,silly_steer
11,11,6,1,37,6,3.57,1,5,Joint,LowEffort,1,prime_eyra
11,1,1,1,38,4,3.1,1,5,Joint,LowEffort,0,rapt_jenny
11,3,2,1,38,4,3.61,1,5,Joint,LowEffort,1,comic_esok
11,5,3,1,38,6,2.14,1,5,Joint,LowEffort,1,lucky_tiger
11,7,4,1,38,6,2.94,1,5,Joint,LowEffort,1,picky_bunny
11,9,5,1,38,3,4.67,1,5,Joint,LowEffort,0,silly_steer
11,11,6,1,38,6,2.51,1,5,Joint,LowEffort,1,prime_eyra
11,1,1,1,39,5,4.48,1,5,Joint,LowEffort,0,rapt_jenny
11,3,2,1,39,6,1.54,1,5,Joint,LowEffort,1,comic_esok
11,5,3,1,39,6,3.83,1,5,Joint,LowEffort,0,lucky_tiger
11,7,4,1,39,5,1.81,1,5,Joint,LowEffort,1,picky_bunny
11,9,5,1,39,1,2.86,1,5,Joint,LowEffort,0,silly_steer
11,11,6,1,39,6,2.99,1,5,Joint,LowEffort,1,prime_eyra
11,1,1,1,40,4,2.92,1,5,Joint,LowEffort,0,rapt_jenny
11,3,2,1,40,6,2.71,1,5,Joint,LowEffort,1,comic_esok
11,5,3,1,40,6,13.31,1,5,Joint,LowEffort,1,lucky_tiger
11,7,4,1,40,5,2.59,1,5,Joint,LowEffort,1,picky_bunny
11,9,5,1,40,2,1.58,1,5,Joint,LowEffort,1,silly_steer
11,11,6,1,40,6,2.7,1,5,Joint,LowEffort,1,prime_eyra
11,1,1,1,41,6,4.88,1,5,Joint,LowEffort,0,rapt_jenny
11,3,2,1,41,3,5.27,1,5,Joint,LowEffort,0,comic_esok
11,5,3,1,41,6,7.64,1,5,Joint,LowEffort,1,lucky_tiger
11,7,4,1,41,6,1.82,1,5,Joint,LowEffort,1,picky_bunny
11,9,5,1,41,6,3.79,1,5,Joint,LowEffort,1,silly_steer
11,11,6,1,41,6,3.27,1,5,Joint,LowEffort,1,prime_eyra
11,1,1,1,42,6,2.76,1,5,Joint,LowEffort,1,rapt_jenny
11,3,2,1,42,4,1.79,1,5,Joint,LowEffort,1,comic_esok
11,5,3,1,42,6,7.6,1,5,Joint,LowEffort,1,lucky_tiger
11,7,4,1,42,5,1.29,1,5,Joint,LowEffort,1,picky_bunny
11,9,5,1,42,2,2.57,1,5,Joint,LowEffort,0,silly_steer
11,11,6,1,42,6,3.49,1,5,Joint,LowEffort,1,prime_eyra
11,1,1,1,43,6,3.17,1,5,Joint,LowEffort,0,rapt_jenny
11,3,2,1,43,5,3.28,1,5,Joint,LowEffort,0,comic_esok
11,5,3,1,43,6,4.44,1,5,Joint,LowEffort,0,lucky_tiger
11,7,4,1,43,5,4.85,1,5,Joint,LowEffort,0,picky_bunny
11,9,5,1,43,4,2.14,1,5,Joint,LowEffort,1,silly_steer
11,11,6,1,43,6,3.13,1,5,Joint,LowEffort,1,prime_eyra
11,1,1,1,44,3,2.81,1,5,Joint,LowEffort,0,rapt_jenny
11,3,2,1,44,3,3.93,1,5,Joint,LowEffort,1,comic_esok
11,5,3,1,44,6,10.11,1,5,Joint,LowEffort,1,lucky_tiger
11,7,4,1,44,6,2.07,1,5,Joint,LowEffort,1,picky_bunny
11,9,5,1,44,3,1.47,1,5,Joint,LowEffort,0,silly_steer
11,11,6,1,44,6,4.23,1,5,Joint,LowEffort,1,prime_eyra
11,1,1,1,45,6,2.69,1,5,Joint,LowEffort,1,rapt_jenny
11,3,2,1,45,5,3,1,5,Joint,LowEffort,0,comic_esok
11,5,3,1,45,6,4.67,1,5,Joint,LowEffort,1,lucky_tiger
11,7,4,1,45,5,4.42,1,5,Joint,LowEffort,1,picky_bunny
11,9,5,1,45,4,1.24,1,5,Joint,LowEffort,0,silly_steer
11,11,6,1,45,6,3.58,1,5,Joint,LowEffort,1,prime_eyra
11,1,1,1,46,5,3.44,1,6,SecondMover,HighEffort,1,rapt_jenny
11,3,2,1,46,5,4.46,1,6,SecondMover,HighEffort,0,comic_esok
11,5,3,1,46,6,8.14,1,6,SecondMover,HighEffort,1,lucky_tiger
11,7,4,1,46,3,3.08,1,6,SecondMover,HighEffort,1,picky_bunny
11,9,5,1,46,5,4.81,1,6,SecondMover,HighEffort,1,silly_steer
11,11,6,1,46,1,2.6,1,6,SecondMover,HighEffort,0,prime_eyra
11,1,1,1,47,3,2.97,1,6,SecondMover,HighEffort,1,rapt_jenny
11,3,2,1,47,6,1.83,1,6,SecondMover,HighEffort,0,comic_esok
11,5,3,1,47,2,4.94,1,6,SecondMover,HighEffort,0,lucky_tiger
11,7,4,1,47,4,7.69,1,6,SecondMover,HighEffort,1,picky_bunny
11,9,5,1,47,NA,NA,1,6,SecondMover,HighEffort,1,silly_steer
11,11,6,1,47,3,3.12,1,6,SecondMover,HighEffort,0,prime_eyra
11,1,1,1,48,6,3.21,1,6,SecondMover,HighEffort,1,rapt_jenny
11,3,2,1,48,6,4.18,1,6,SecondMover,HighEffort,1,comic_esok
11,5,3,1,48,2,2.42,1,6,SecondMover,HighEffort,0,lucky_tiger
11,7,4,1,48,3,8.42,1,6,SecondMover,HighEffort,0,picky_bunny
11,9,5,1,48,NA,NA,1,6,SecondMover,HighEffort,1,silly_steer
11,11,6,1,48,6,3.02,1,6,SecondMover,HighEffort,1,prime_eyra
11,1,1,1,49,5,4.93,1,6,SecondMover,HighEffort,1,rapt_jenny
11,3,2,1,49,5,2.75,1,6,SecondMover,HighEffort,0,comic_esok
11,5,3,1,49,1,5.62,1,6,SecondMover,HighEffort,1,lucky_tiger
11,7,4,1,49,3,4.3,1,6,SecondMover,HighEffort,1,picky_bunny
11,9,5,1,49,NA,NA,1,6,SecondMover,HighEffort,1,silly_steer
11,11,6,1,49,5,8.97,1,6,SecondMover,HighEffort,0,prime_eyra
11,1,1,1,50,3,3.75,1,6,SecondMover,HighEffort,0,rapt_jenny
11,3,2,1,50,2,2.37,1,6,SecondMover,HighEffort,0,comic_esok
11,5,3,1,50,2,9.85,1,6,SecondMover,HighEffort,0,lucky_tiger
11,7,4,1,50,4,4.33,1,6,SecondMover,HighEffort,1,picky_bunny
11,9,5,1,50,NA,NA,1,6,SecondMover,HighEffort,1,silly_steer
11,11,6,1,50,4,3.59,1,6,SecondMover,HighEffort,1,prime_eyra
11,1,1,1,51,5,3.37,1,6,SecondMover,HighEffort,1,rapt_jenny
11,3,2,1,51,5,1.68,1,6,SecondMover,HighEffort,0,comic_esok
11,5,3,1,51,2,7.83,1,6,SecondMover,HighEffort,1,lucky_tiger
11,7,4,1,51,6,1.43,1,6,SecondMover,HighEffort,1,picky_bunny
11,9,5,1,51,NA,NA,1,6,SecondMover,HighEffort,1,silly_steer
11,11,6,1,51,3,4.46,1,6,SecondMover,HighEffort,1,prime_eyra
11,1,1,1,52,4,3.73,1,6,SecondMover,HighEffort,1,rapt_jenny
11,3,2,1,52,5,2.57,1,6,SecondMover,HighEffort,0,comic_esok
11,5,3,1,52,1,11.92,1,6,SecondMover,HighEffort,0,lucky_tiger
11,7,4,1,52,6,6.61,1,6,SecondMover,HighEffort,0,picky_bunny
11,9,5,1,52,NA,NA,1,6,SecondMover,HighEffort,1,silly_steer
11,11,6,1,52,1,2.94,1,6,SecondMover,HighEffort,0,prime_eyra
11,1,1,1,53,2,3.51,1,6,SecondMover,HighEffort,0,rapt_jenny
11,3,2,1,53,4,2.91,1,6,SecondMover,HighEffort,0,comic_esok
11,5,3,1,53,1,4.23,1,6,SecondMover,HighEffort,1,lucky_tiger
11,7,4,1,53,4,1.95,1,6,SecondMover,HighEffort,1,picky_bunny
11,9,5,1,53,NA,NA,1,6,SecondMover,HighEffort,1,silly_steer
11,11,6,1,53,2,2.35,1,6,SecondMover,HighEffort,1,prime_eyra
11,1,1,1,54,6,4.06,1,6,SecondMover,HighEffort,1,rapt_jenny
11,3,2,1,54,1,5.41,1,6,SecondMover,HighEffort,0,comic_esok
11,5,3,1,54,2,2.6,1,6,SecondMover,HighEffort,1,lucky_tiger
11,7,4,1,54,6,5.44,1,6,SecondMover,HighEffort,1,picky_bunny
11,9,5,1,54,NA,NA,1,6,SecondMover,HighEffort,1,silly_steer
11,11,6,1,54,1,4.61,1,6,SecondMover,HighEffort,0,prime_eyra
12,1,1,1,1,6,6.39,2,1,FirstMover,HighEffort,1,mega_tick
12,3,2,1,1,2,4.52,2,1,FirstMover,HighEffort,0,mad_wren
12,5,3,1,1,5,5.27,2,1,FirstMover,HighEffort,0,acrid_wasp
