date,group,subject,team,label,response,comment
2018_6_17_11_42_19,2,3,2,roll106,5,actual_number: 8; reaction_time: 2.52
2018_6_17_11_42_27,2,4,2,roll107,5,actual_number: 8; reaction_time: 2.59
2018_6_17_11_42_30,2,4,2,roll108,5,actual_number: 8; reaction_time: 1.65
2018_6_17_11_42_35,2,4,2,roll109,5,actual_number: 8; reaction_time: 2.22
2018_6_17_11_42_49,2,1,1,roll107,1,actual_number: 8; reaction_time: 2.16
2018_6_17_11_42_53,2,1,1,roll108,1,actual_number: 8; reaction_time: 1.91
2018_6_17_11_43_1,2,1,1,roll109,1,actual_number: 8; reaction_time: 6.06
2018_6_17_11_43_11,2,2,1,roll107,1,actual_number: 8; reaction_time: 2.28
2018_6_17_11_43_15,2,2,1,roll108,1,actual_number: 8; reaction_time: 1.71
2018_6_17_11_43_19,2,2,1,roll109,1,actual_number: 8; reaction_time: 1.87
2018_6_17_11_43_34,2,3,2,roll107,6,actual_number: 8; reaction_time: 6.9
2018_6_17_11_43_38,2,3,2,roll108,6,actual_number: 8; reaction_time: 2.2
2018_6_17_11_43_43,2,3,2,roll109,6,actual_number: 8; reaction_time: 1.86
2018_6_17_11_43_52,2,4,2,roll110,6,actual_number: 8; reaction_time: 2.94
2018_6_17_11_43_56,2,4,2,roll111,6,actual_number: 8; reaction_time: 1.88
2018_6_17_11_44_1,2,4,2,roll112,6,actual_number: 8; reaction_time: 2.3
2018_6_17_11_44_9,2,1,1,roll110,3,actual_number: 8; reaction_time: 63.82
2018_6_17_11_44_14,2,1,1,roll111,3,actual_number: 8; reaction_time: 2.02
2018_6_17_11_44_18,2,1,1,roll112,3,actual_number: 8; reaction_time: 1.74
2018_6_17_11_44_24,2,1,1,roll113,3,actual_number: 8; reaction_time: 1.49
2018_6_17_11_44_28,2,1,1,roll114,3,actual_number: 8; reaction_time: 1.88
2018_6_17_11_45_52,2,1,1,roll115,2,actual_number: 8; reaction_time: 81.63
2018_6_17_11_45_58,2,1,1,roll116,2,actual_number: 8; reaction_time: 1.6
2018_6_17_11_46_2,2,1,1,roll117,2,actual_number: 8; reaction_time: 1.86
2018_6_17_11_46_7,2,1,1,roll118,3,actual_number: 8; reaction_time: 3.46
2018_6_17_11_46_20,2,2,1,roll110,2,actual_number: 8; reaction_time: 176.46
2018_6_17_11_46_25,2,2,1,roll111,2,actual_number: 8; reaction_time: 2.05
2018_6_17_11_46_29,2,2,1,roll112,3,actual_number: 8; reaction_time: 2.54
2018_6_17_11_46_43,2,3,2,roll110,4,actual_number: 8; reaction_time: 175.37
2018_6_17_11_46_48,2,3,2,roll111,4,actual_number: 8; reaction_time: 3.15
2018_6_17_11_46_52,2,3,2,roll112,5,actual_number: 8; reaction_time: 2.07
2018_6_17_11_47_4,2,4,2,roll113,4,actual_number: 8; reaction_time: 178.68
2018_6_17_11_47_22,2,4,2,roll114,4,actual_number: 8; reaction_time: 15.62
2018_6_17_11_47_26,2,4,2,roll115,4,actual_number: 8; reaction_time: 2.2
2018_6_17_11_47_42,2,2,1,roll113,2,actual_number: 8; reaction_time: 2.44
2018_6_17_11_47_46,2,2,1,roll114,2,actual_number: 8; reaction_time: 1.92
2018_6_17_11_47_50,2,2,1,roll115,2,actual_number: 8; reaction_time: 1.88
2018_6_17_11_47_59,2,2,1,roll116,1,actual_number: 8; reaction_time: 3.62
2018_6_17_11_48_3,2,2,1,roll117,1,actual_number: 8; reaction_time: 1.96
2018_6_17_11_48_7,2,2,1,roll118,1,actual_number: 8; reaction_time: 1.79
2018_6_17_11_48_19,2,3,2,roll113,1,actual_number: 8; reaction_time: 2.14
2018_6_17_11_48_28,2,3,2,roll114,6,actual_number: 8; reaction_time: 6.78
2018_6_17_11_48_32,2,3,2,roll115,6,actual_number: 8; reaction_time: 1.51
2018_6_17_11_48_39,2,4,2,roll116,6,actual_number: 8; reaction_time: 67.97
2018_6_17_11_48_43,2,4,2,roll117,6,actual_number: 8; reaction_time: 2.14
2018_6_17_11_48_47,2,4,2,roll118,6,actual_number: 8; reaction_time: 1.81
2018_6_17_11_48_57,2,3,2,roll116,6,actual_number: 8; reaction_time: 2.1
2018_6_17_11_49_0,2,3,2,roll117,6,actual_number: 8; reaction_time: 1.51
2018_6_17_11_49_5,2,3,2,roll118,6,actual_number: 8; reaction_time: 2.41
2018_6_17_11_54_14,2,1,1,Q1,d,
2018_6_17_11_54_14,2,1,1,Q2,d,
2018_6_17_11_54_14,2,1,1,Q3,b,
2018_6_17_11_56_47,2,2,1,Q1,d,
2018_6_17_11_56_47,2,2,1,Q2,d,
2018_6_17_11_56_47,2,2,1,Q3,b,
2018_6_17_11_57_21,2,3,2,Q1,d,
2018_6_17_11_57_21,2,3,2,Q2,d,
2018_6_17_11_57_21,2,3,2,Q3,b,
2018_6_17_11_57_53,2,4,2,Q1,d,
2018_6_17_11_57_53,2,4,2,Q2,d,
2018_6_17_11_57_53,2,4,2,Q3,b,
2018_6_17_12_34_28,2,1,1,roll201,1,actual_number: 9; reaction_time: 6.75
2018_6_17_12_34_32,2,1,1,roll202,2,actual_number: 9; reaction_time: 2.58
2018_6_17_12_34_46,2,1,1,roll203,3,actual_number: 9; reaction_time: 11.01
2018_6_17_12_34_52,2,1,1,roll204,4,actual_number: 9; reaction_time: 2.33
2018_6_17_12_34_54,2,4,1,roll201,5,actual_number: 9; reaction_time: 7.73
2018_6_17_12_34_56,2,1,1,roll205,5,actual_number: 9; reaction_time: 1.5
2018_6_17_12_34_58,2,3,2,roll201,5,actual_number: 9; reaction_time: 8.87
2018_6_17_12_35_0,2,1,1,roll206,6,actual_number: 9; reaction_time: 1.51
2018_6_17_12_35_1,2,4,1,roll202,5,actual_number: 9; reaction_time: 4.46
2018_6_17_12_35_5,2,3,2,roll202,5,actual_number: 9; reaction_time: 4.38
2018_6_17_12_35_6,2,1,1,roll207,1,actual_number: 9; reaction_time: 1.6
2018_6_17_12_35_8,2,4,1,roll203,5,actual_number: 9; reaction_time: 4.43
2018_6_17_12_35_9,2,1,1,roll208,2,actual_number: 9; reaction_time: 1.58
2018_6_17_12_35_12,2,3,2,roll203,5,actual_number: 9; reaction_time: 4.84
2018_6_17_12_35_13,2,1,1,roll209,3,actual_number: 9; reaction_time: 1.56
2018_6_17_12_35_20,2,1,1,roll210,4,actual_number: 9; reaction_time: 2.17
2018_6_17_12_35_23,2,4,1,roll204,6,actual_number: 9; reaction_time: 2.13
2018_6_17_12_35_26,2,1,1,roll211,5,actual_number: 9; reaction_time: 4.18
2018_6_17_12_35_27,2,3,2,roll204,6,actual_number: 9; reaction_time: 8.87
2018_6_17_12_35_29,2,4,1,roll205,6,actual_number: 9; reaction_time: 3.65
2018_6_17_12_35_31,2,1,1,roll212,6,actual_number: 9; reaction_time: 1.92
