Date,Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT
2019_3_4_11_35_6,11,12,1,2,14,5,4.41
2019_3_4_11_35_10,11,4,3,2,14,6,9.22
2019_3_4_11_35_12,11,11,6,1,15,2,4.84
2019_3_4_11_35_24,11,3,2,1,16,6,2.59
2019_3_4_11_35_25,11,10,6,2,15,2,4.59
2019_3_4_11_35_26,11,5,3,1,15,6,3.77
2019_3_4_11_35_26,11,1,1,1,15,5,4.35
2019_3_4_11_35_33,11,2,2,2,16,1,2.88
2019_3_4_11_35_36,11,9,5,1,16,2,3.39
2019_3_4_11_35_39,11,4,3,2,15,6,2.91
2019_3_4_11_35_41,11,12,1,2,15,5,7.33
2019_3_4_11_35_47,11,8,5,2,16,6,4.89
2019_3_4_11_35_52,11,3,2,1,17,4,5.21
2019_3_4_11_36_2,11,9,5,1,17,2,2.1
2019_3_4_11_36_2,11,2,2,2,17,1,2.52
2019_3_4_11_36_3,11,7,4,1,16,4,6.38
2019_3_4_11_36_11,11,8,5,2,17,4,3.07
2019_3_4_11_36_16,11,6,4,2,16,4,3.43
2019_3_4_11_36_18,11,11,6,1,16,1,5.19
2019_3_4_11_36_21,11,3,2,1,18,3,3.31
2019_3_4_11_36_30,11,9,5,1,18,5,3.17
2019_3_4_11_36_32,11,5,3,1,16,6,3.93
2019_3_4_11_36_32,11,2,2,2,18,6,4.76
2019_3_4_11_36_37,11,7,4,1,17,3,4.08
2019_3_4_11_36_37,11,1,1,1,16,6,7.38
2019_3_4_11_36_40,11,10,6,2,16,3,12.28
2019_3_4_11_36_43,11,8,5,2,18,5,2.77
2019_3_4_11_36_47,11,4,3,2,16,6,4.59
2019_3_4_11_36_49,11,12,1,2,16,6,3.47
2019_3_4_11_36_51,11,6,4,2,17,6,5.34
2019_3_4_11_37_0,11,11,6,1,17,2,4.63
2019_3_4_11_37_8,11,1,1,1,17,3,4.45
2019_3_4_11_37_9,11,7,4,1,18,4,3.25
2019_3_4_11_37_13,11,10,6,2,17,2,4.37
2019_3_4_11_37_19,11,5,3,1,17,6,18.1
2019_3_4_11_37_20,11,6,4,2,18,6,3.65
2019_3_4_11_37_23,11,12,1,2,17,2,3.47
2019_3_4_11_37_32,11,11,6,1,18,3,3.13
2019_3_4_11_37_40,11,1,1,1,18,6,2.92
2019_3_4_11_37_42,11,4,3,2,17,5,3.87
2019_3_4_11_37_46,11,10,6,2,18,6,4.93
2019_3_4_11_37_55,11,12,1,2,18,3,8.26
2019_3_4_11_38_4,11,5,3,1,18,5,8.58
